"hh_refno","ave_precip","dist_water_bodies","Shannon_tree","richness_tree","Slope","Elevation","dist_forest","Male_Female_ratio","hhmembers","hh_dep_ratio","literacy_rate","leveledu","hh_labor_days","Info_network","market_network","ag_implements","water_inf","farm_structures","comm_inf","dist_cell_wifi_tower","transp_inf","dist_main_roads","dist_any_roads","time_field_travel","wage_entry_n","liv_sale_number","house_tenure_n","house_walls_n","house_roof_n","house_floor_n","house_san_n","house_electricity_n","house_water_n","house_fuel_cook_n","house_fuel_light_n","hh_microf_n","landsize","farm_type","fields","CIF","Maize_yield","lands_eplot","landscape_no","eplot_no","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","Carbon_storage","Soil_fertility","Water_storage","Nutrient_supply","Maize_yield_class"
"TZA-L03-H11",966,8.867074013,0,0.966,5.765912056,2098,5.05593729,1,2,0.58834003298289,1,0,24,4,1,4,3,1,1,9.340770721,1,8.077747345,1.581138849,11,0,2.28571428571429,4,2,1,1,2,1,1,1,3,1,2,1,3,1,1976.84,"L03 _ 3","L03",3,17.819316,10.06186033,5.973378333,48.82350333,7.942260833,3.079103007,0.824417813,84.3125099699134,0.352632667,2.89080742586222,0.034531296224,0.167,0.0863894172,0.084533067511,0.167,0.167,0.706453780935,1,-33.210912,-8.105044,-9.488832,0,0,0,0.186545422222222,0.264332355555556,0.333,0.783877777777778,0.740061669309737,0.575666222480925,0.44916569236899,0.573005053722295,"1"
"TZA-L03-H12",893.1388889,11.87697315,0,0.144,1.353796482,2063,4.828301907,1.15433673469388,2,0.5,1,1,6,4,1,13,3,2,1,3.816084385,2,5.031152725,1.346291184,8.5,0,0,4,2,1,1,2,1,5,1,3,1,15,3,5,1,1224.36541935484,"L03 _ 5","L03",5,13.28674083,10.70766378,5.846463611,50.09290722,5.13653203,2.52736594916667,0.716862307692308,68.1083687997576,0.421528944,4.7888558640201,0.0168757103733334,0.167,0.056021163561,0.095317985126,0.10036902496,0.167,0.602583884020333,0.603612062964024,-20.7368086656296,-4.53674837116486,-4.91666452797413,0.859495652173913,0.299534234782609,1.03647296942029,0.284195217080766,0.319884309388458,0.333,0.937079526469224,0.267268677160671,0.437107773761522,0.41055720884321,0.669866648184432,"0"
"TZA-L03-H13",1003.305556,13.46291161,0.171900500778866,1.21,1.012750387,1986,2.304886103,0.5,3,0.553192640692641,1,0,37.5833333333333,2,0,7,3,2,1,9.905806541,2,11.16355705,1.25,0,0,0,4,3,1,1,2,1,1,1,3,1,10,3,4,1,593.052,"L03 _ 2","L03",2,12.097624,14.15192,5.980602333,62.13467067,7.716550167,2.989003216,0.92638441,48.2507037142996,0.366814267,3.05710348180992,0.031648102912,0.167,0.0480540808,0.152837064,0.167,0.167,0.733539247712,0,-6.08448542307692,-1.48500600961538,-1.797688875,0,0,0,0.333,0.333,0.333,0.999,0.681936118967479,0.659576792921507,0.651343239894442,0.672120155768604,"0"
"TZA-L03-H14",893.1388889,11.87697315,0,0.144,1.353796482,2063,4.828301907,1,2,0.582784477427335,1,2,15,4,0,3,3,1,3,3.816084385,2,5.031152725,1.346291184,25,1,3.07142857142857,1,3,4,1,2,1,2,1,3,1,8.35714285714286,1.78571428571429,2,1,2223.945,"L03 _ 5","L03",5,18.08738,9.003854333,5.858534333,41.34439067,7.0085715,2.681706368,0.596539622,94.0082736146631,0.316811933,2.98776881350468,0.021814603776,0.12689267904,0.088185446,0.0668643673611,0.167,0.167,0.6377570961771,1,-37.362276,-9.1181745,-10.674936,0,0,0,0.140419155555556,0.241818344444444,0.333,0.7152375,0.267268677160671,0.437107773761522,0.41055720884321,0.669866648184432,"1"
"TZA-L03-H15",893.1388889,14.02007484,0.288349227112937,1.392,3.603057623,2097,2.304886103,0.285714285714286,9,0.666666666666667,0.777777777777778,1,8.66666666666667,2,0,7,3,2,4,5.963430405,4,7.603453159,0.25,20,0,0,4,3,4,2,2,1,1,1,3,1,3,1,3,1,808.707272727273,"L03 _ 10","L03",10,14.357873,8.262835,5.876191333,39.19323333,4.566220433,1.604765627,0.522102755,57.3952036333545,0.3148165,4.49230527310571,0,0.1030728816,0.0631977491,0.0544893445,0.082119053856,0.167,0.469879029056,0.246506593127804,-12.3461652573529,-2.86786701645221,-2.24843769329504,1.389965625,0.4844030203125,1.67617113023437,0.333,0.333,0.333,0.999,0.565502197725713,0.552477761605305,0.442890964186888,0.775081389218472,"0"
"TZA-L03-H16",893.1388889,11.87697315,0,0.144,1.353796482,2063,4.828301907,1.66666666666667,8,0.5,0.75,1,18,4,1,11,3,1,4,3.816084385,2,5.031152725,1.346291184,1.5005,0,3,4,2,1,1,2,1,6,1,3,1,5,2,3,1,2372.208,"L03 _ 5","L03",5,6.942513667,8.824528667,5.610394667,50.232906,2.7946982,1.31600589,0.421190392,48.8136633388044,0.234401667,4.91789976267377,0,0.07078092544,0.0135148415689,0.0638696287389,0.0254303424,0.167,0.3405957381478,0,-6.0283104893617,2.04620027047872,29.2648179920612,33.6746281914894,11.735607924734,40.6085147580186,0.333,0.333,0.23039091119932,0.89639091119932,0.267268677160671,0.437107773761522,0.41055720884321,0.669866648184432,"1"
"TZA-L03-H17",893.1388889,14.02007484,0.288349227112937,1.392,3.603057623,2097,2.304886103,3,4,0.25,1,0,51.2,4,0,16,3,3,3,5.963430405,2,7.603453159,0.25,23.6,0,0,4,3,4,1,2,1,1,1,3,1,11,3,6,1,668.227605633803,"L03 _ 10","L03",10,44.885979,9.035614667,5.944765667,38.22420733,7.331138833,2.794286232,0.759418576,98.6108191294958,0.322682033,2.87915497484498,0.025417159424,0.167,0.167,0.0673947649389,0.167,0.167,0.7608119243629,1,-3.5421467490496,-0.0446622482950885,5.5670394232702,7.3538448,2.5628149128,8.86806272636,0.333,0.333,0.312105712344444,0.978105712344445,0.565502197725713,0.552477761605305,0.442890964186888,0.775081389218472,"0"
"TZA-L03-H18",1126.055556,16.43548012,0.138629436111989,1.122,4.804620266,2233,0.75,0.666666666666667,5,0.4,1,0,13.8,4,1,17,3,2,4,8.602325439,2,9.303896904,0,0.537325,0,0,4,2,4,1,2,1,1,1,3,1,8,2,5,1,946.359574468085,"L03 _ 6","L03",6,7.140435,7.356836833,5.963582222,60.12544055,7.36992914,2.91722094916667,0.813317272051282,64.9097613387452,0.407510389,3.54111206890613,0.0293510703733334,0.167,0.0148409145,0.0393591751111,0.167,0.167,0.584551159984434,0.496991824925635,-14.0874427647849,-2.84310211545027,-2.49761878606216,1.41686818548387,0.493778562641129,1.70861315210988,0.333,0.333,0.333,0.999,0.770965707220864,0.584264241655908,0.59575787390802,0.740574573646753,"0"
"TZA-L03-H19",893.1388889,14.02007484,0.288349227112937,1.392,3.603057623,2097,2.304886103,1.55017006802721,4,0.5,1,1,70,4,1,16,3,2,4,5.963430405,3,7.603453159,0.25,0,1,6,4,1,4,1,2,1,1,1,3,1,5,2,2,1,1694.43428571429,"L03 _ 10","L03",10,11.72920767,9.178208333,5.743181333,48.97299267,4.819945167,1.603327805,0.436916778,62.0944985303225,0.2663111,3.73691248489783,0,0.07581336896,0.045585691389,0.0697760791611,0.090238245344,0.167,0.4484133848541,0.403149740695753,-24.2304102857143,-5.4709047,-3.02495350785714,4.23608571428571,1.47627587142857,5.10833106357143,0.286328774603175,0.322868784444444,0.333,0.942197559047619,0.565502197725713,0.552477761605305,0.442890964186888,0.775081389218472,"1"
"TZA-L03-H20",916.841269828572,8.031670515,0.938030840834118,4.73771428571429,2.89304179357143,1114.28571428571,18.0871269201429,1.25,9,0.666666666666667,0.666666666666667,1,22.3333333333333,4,1,13,3,2,3,9.8395676095,2,4.99646945935714,1.00670607164286,5,0,0,4,3,4,1,2,1,1,1,3,1,7,2,3,1,1248.53052631579,"L03 _ 9","L03",9,9.597193667,8.244886667,5.596281333,47.54363833,2.885324667,1.377374601,0.435320252,47.0848077031994,0.328660033,6.53831280738496,0,0.07530248064,0.0313011975689,0.0541896073389,0.028330389344,0.167,0.3561236748918,0,-14.8367044210526,-3.84443357894737,-9.81657126315789,0,0,0,0.327748261988304,0.331844720467836,0.333,0.99259298245614,0.240420319343045,0.390206358995507,0.402486361472491,0.678937198184193,"0"
"TZA-L03-H21",1126.055556,16.43548012,0.138629436111989,1.122,4.804620266,2233,0.75,1,4,0.5,0.75,1,17.8333333333333,4,0,12,3,2,2,8.602325439,2,9.303896904,0,16,0,4,3,3,4,1,2,1,1,1,3,1,8,2,4,1,2052.87230769231,"L03 _ 6","L03",6,13.39000233,9.138864333,5.767437667,46.447886,6.628947167,2.366743829,0.535224653,90.8081614837018,0.290397,2.9568043537395,0.011735802528,0.10727188896,0.056713015611,0.0691190343611,0.148126309344,0.167,0.5599660508041,1,-21.1455317030426,-4.15151316520892,0.639991364081948,7.116624,2.480143464,8.5819961868,0.279940311621967,0.308040531289911,0.333,0.920980842911877,0.770965707220864,0.584264241655908,0.59575787390802,0.740574573646753,"1"
"TZA-L03-H22",916.9444444,10.78482723,0,0.124,0.773976266,2059,5.618051052,0.125,9,0.555555555555556,0.777777777777778,1,15.9444444444444,4,0,13,3,1,4,4.828301907,1,5.488624573,1.952562451,17.1666666666667,0,20,4,3,4,1,2,1,1,1,3,1,5,2,4,1,529.510714285714,"L03 _ 1","L03",1,12.435731,8.671113333,5.705803667,41.27891133,4.024453567,1.886923714,0.478481383,49.7660382605186,0.285553,4.27768375005194,0,0.08911404256,0.0503193977,0.0613075926611,0.064782514144,0.167,0.4325235470651,0,-8.89578,-2.17099392857143,-2.54165142857143,0,0,0,0.333,0.333,0.333,0.999,0.142646037200951,0.4264774526701,0.387718765609706,0.785714285714286,"0"
"TZA-L03-H23",1003.305556,13.46291161,0.171900500778866,1.21,1.012750387,1986,2.304886103,1.5,10,0.4,1,1,19.9666666666667,4,0,9,5,2,4,9.905806541,2,11.16355705,1.25,17.5,1,0,4,3,4,1,2,1,1,1,3,1,4,1,5,1,1059.02142857143,"L03 _ 2","L03",2,15.03703933,8.806573333,5.861906667,39.05795467,6.752788167,2.310417857,0.541869107,84.3728784270221,0.2896428,2.92724665846768,0.009933371424,0.10939811424,0.067748163511,0.0635697746611,0.152089221344,0.167,0.5697386451801,1,-12.45162095,-2.258014601875,3.32077665592708,7.47492625,2.605011798125,9.01407585592708,0.333,0.333,0.333,0.999,0.681936118967479,0.659576792921507,0.651343239894442,0.672120155768604,"0"
"TZA-L03-H24",837.797619071429,8.49588079842857,1.36656333275166,8.44242857142857,4.22021654571429,769.857142857143,18.6140564504286,0.5,3,0.333333333333333,0.666666666666667,1,35.8333333333333,4,0,7,3,1,4,6.04656208421429,2,3.150787132,1.29575619521429,22.75,0,0,4,3,4,2,2,1,5,1,3,1,45,3,5,1,2567.14638888889,"L03 _ 9","L03",9,7.359932667,8.100900667,5.486617,47.65597433,2.053664067,1.076009355,0.437198802,40.3599461527354,0.345248867,8.82510686579359,0,0.07590361664,0.0163115488689,0.0517850411389,0.001717250144,0.164765039,0.3104824957918,0,-5.83416697404769,10.1964336908961,-7.87591080937541,19.5758506493506,16.1157388181818,0,0.279959947091797,0.191546808138239,0.333,0.804506755230036,0.240420319343045,0.390206358995507,0.402486361472491,0.678937198184193,"2"
"TZA-L03-H25",1126.055556,16.43548012,0.138629436111989,1.122,4.804620266,2233,0.75,4.5,11,0.636363636363636,0.454545454545455,1,15.8181818181818,2,0,19,3,2,4,8.602325439,2,9.303896904,0,0,0,0,4,3,1,1,2,1,1,1,3,1,2,1,3,1,3953.68,"L03 _ 6","L03",6,14.690573,9.579954333,5.579012667,41.93525733,5.076984833,1.804550302,0.613157527,65.5810317529118,0.349050333,4.45004806025009,0,0.13221040864,0.0654268391,0.0764852373611,0.098463514656,0.167,0.5395859997571,0.519367503160287,-142.697435076923,-42.3195824615385,-40.2819166153846,0,0,0,0,0.0421101333333333,0.1665,0.208610133333333,0.770965707220864,0.584264241655908,0.59575787390802,0.740574573646753,"2"
"TZA-L03-H26",912.208333357143,8.53005343642857,1.03424580870816,5.65871428571429,3.92076271707143,1068.5,14.5223005327143,1.5,5,0.6,0.4,0,14.95,4,0,7,3,1,2,7.86418391928571,2,3.83227332142857,1.200253627,22.25,1,8,4,1,1,1,2,1,1,1,3,1,3,1,5,1,1653.70269230769,"L03 _ 9","L03",9,14.92822083,10.53733739,5.798158056,41.09003306,4.373010361,2.3406347225,0.368459992820513,46.677898619016,0.400642361,5.35421466989223,0.01090031112,0.0539071977025642,0.067019079561,0.092473534413,0.075936331552,0.167,0.467236454348564,0,-21.47188009375,-4.75203507083333,-7.2531495125,0,0,0,0.289562591666667,0.31320647662037,0.333,0.935769068287037,0.240420319343045,0.390206358995507,0.402486361472491,0.678937198184193,"1"
"TZA-L03-H27",876.599206328571,8.22094169621429,0.720293613806206,4.00914285714286,3.50159097342857,1138.78571428571,18.9719379802857,0.833333333333333,11,0.636363636363636,0.727272727272727,1,4.54545454545455,2,0,12,3,2,4,9.52698002528571,2,4.98775405121429,1.12597723721429,17.5,1,0,4,3,4,1,2,1,1,1,3,1,7,2,5,1,508.330285714286,"L03 _ 9","L03",9,16.59439833,9.078813333,5.799144,46.40520167,5.522138333,2.291238876,0.506900463,95.6745788752413,0.320955367,3.71423112363074,0.009319644032,0.09820814816,0.078182468811,0.0681161826611,0.112708426656,0.167,0.5335348703201,1,-26.4840078857143,-4.66604841428571,-2.99106482214286,4.23608571428571,1.47627587142857,5.10833106357143,0.1665,0.275383395555556,0.333,0.774883395555556,0.240420319343045,0.390206358995507,0.402486361472491,0.678937198184193,"0"
"TZA-L03-H28",966,8.867074013,0,0.966,5.765912056,2098,5.05593729,0.5,9,0.777777777777778,0.666666666666667,1,7.48148148148148,4,1,7,3,1,4,9.340770721,3,8.077747345,1.581138849,15.3333333333333,0,0,4,3,4,2,2,1,1,1,3,1,10,3,4,1,741.315,"L03 _ 3","L03",3,6.460866333,8.946587,5.752957333,49.934396,5.000773,1.728661707,0.446565477,60.8684329017089,0.2380975,3.21141573996019,0,0.07890095264,0.0102878044311,0.0659080029,0.096024736,0.167,0.4181214959711,0.362280890495522,-11.1840046013072,-2.58184348366013,-3.12159832679739,0,0,0,0.333,0.333,0.333,0.999,0.740061669309737,0.575666222480925,0.44916569236899,0.573005053722295,"0"
"TZA-L03-H29",993,18.11249542,0.90285083728063,2.58,5.661018372,2207,0.5,2,3,0.333333333333333,0.666666666666667,1,39.3333333333333,2,0,3,3,2,4,6.950719357,2,7.63216877,0.559017003,20,0,0,3,2,4,1,2,1,1,1,3,1,2,1,2,1,423.608571428571,"L03 _ 8","L03",8,7.953447,15.92979433,6.137404333,61.352172,10.16795933,4.396620988,1.074547072,42.573526491627,0.450232667,2.79832551080313,0.076691871616,0.167,0.0202880949,0.167,0.167,0.167,0.764979966516,0,-7.116624,-1.73679514285714,-2.03332114285714,0,0,0,0.333,0.333,0.333,0.999,0.431219691186146,0.513059427830129,0.605266097202486,0.567233904667131,"0"
"TZA-L03-H30",993,18.11249542,0.90285083728063,2.58,5.661018372,2207,0.5,1.5,5,0.6,1,1,44.4,4,0,29,3,3,4,6.950719357,2,7.63216877,0.559017003,0,0,4,4,2,3,1,2,4,2,1,4,1,3,1,3,1,197.684,"L03 _ 8","L03",8,11.25727867,8.470922667,5.632479333,58.72114533,3.556009667,1.381686648,0.467278613,50.5871251728956,0.2474972,4.37856559741359,0,0.08552915616,0.042423767089,0.0579644085389,0.049792309344,0.167,0.4027096411319,0.0195706671394373,0.6325888,0.56735308,3.81889245933333,3.95368,1.37785748,4.76777565933333,0.333,0.333,0.333,0.999,0.431219691186146,0.513059427830129,0.605266097202486,0.567233904667131,"0"
"TZA-L10-H01",975.396825314286,15.0083313,1.4464016931831,5.932,1.382567286,1333,27.95643997,0.5,3,1,1,1,80,4,0,6,2,1,4,15.74206161,2,0.901387811,0.901387811,0,0,0,4,1,1,1,2,1,5,1,1,1,2,1,2,1,117.049736842105,"L10 _ 8","L10",8,20.8579298506667,7.69336943691667,6.325861301,31.4322055841667,6.12820166491667,1.97000799263194,0.473245099145299,38.8512382327482,0.253239817083333,3.56978355067882,0.0164164639573333,0.0840681083733333,0.0613209038819667,0.0467479918009833,0.0947614066906667,0.167,0.470314874704283,0.162269910324307,-1.96643557894737,-0.479903921052631,-0.561838736842105,0,0,0,0.333,0.333,0.333,0.999,0,0.263520398549,0.398148148148148,0.642857142857143,"0"
"TZA-L10-H02",715.9444444,19.14418983,1.87570916039828,15,4.151501179,1441,22.73900795,0.333333333333333,4,0.544897959183673,1,0,95.25,4,0,5,3,2,4,12.00260353,1,1.820027471,0.353553385,20.5,0,3,4,3,4,2,2,1,3,1,3,1,2,1,3,1,1297.30125,"L10 _ 5","L10",5,23.38348,5.426182667,6.406877333,19.71700733,2.895494,0.77795069,0.31933278,46.836659827287,0.263395533,6.18855325698329,0,0.0381864896,0.123669316,0.0071172505388999,0.028655808,0.167,0.3646288641389,0,38.023281875,-2.27717553541667,-3.28378349302083,50.502084375,0.64587069375,2.2348948403125,0.146606206944444,0.333,0.333,0.812606206944444,0,0.385301755161475,0.483872987792656,0.221548722249263,"0"
"TZA-L10-H03",973.271825314286,15.0083313,1.4464016931831,5.932,1.382567286,1333,27.95643997,1,8,0.625,0.75,1,47.75,2,0,2,3,1,4,15.74206161,2,0.901387811,0.901387811,1,0,5,4,5,1,1,2,1,1,1,3,1,1,1,2,1,529.510714285714,"L10 _ 8","L10",8,22.5091223325,9.72348424991667,6.16790441666667,42.4842009725,6.96742422225,2.56595879383333,0.645902000333333,56.1984691798568,0.333832486166667,3.85961062794496,0.0245466646586667,0.115584858133333,0.06833413577775,0.0784558113926,0.112311212,0.167,0.56623268196235,0.273698991490339,-8.89578,-2.17099392857143,-2.54165142857143,0,0,0,0.333,0.333,0.333,0.999,0,0.263520398549,0.398148148148148,0.642857142857143,"0"
"TZA-L10-H04",727.6944444,17.30064964,1.79168456285177,6.842,1.742046118,1357,24.86463356,2,6,0.5,0.833333333333333,1,9,4,0,8,3,1,3,13.30883121,1,0.75,0.25,1.5,0,0,4,3,4,2,3,4,1,1,4,1,5.57142857142857,1.35714285714286,3,1,518.402097902098,"L10 _ 4","L10",4,8.701087333,7.274121667,6.453950667,28.15100633,5.5074155,2.285101762,0.435724601,40.1353950583498,0.244310333,2.88355063914911,0.0091232563839999,0.07543187232,0.0252972851311,0.0379778318389,0.112237296,0.167,0.427067541674,0,-8.46111337349398,8.15315405339357,-2.41746096385542,0,10.2180686266867,0,0.333,0.263263243257921,0.333,0.929263243257921,0.0260238038276059,0.4590846014885,0.419694224291521,0.486079433584519,"0"
